n	y	pT	pZ	theta	eta
496	-0.19869	1.23921	-0.437064	-1.23172	nan
497	3.66108	3.70942	80.1483	0.046249	3.76668
498	2.15073	-5.41139	24.1652	-0.220298	nan
499	-4.57625	-6.18968	-313.085	0.0197674	4.61684
500	-4.94344	-8.76062	-627.148	0.0139681	4.96411
501	0.122307	-8.7651	1.09714	-1.44627	nan
502	2.44241	-0.865624	11.3985	-0.0757965	nan
503	-4.26919	-4.63991	-177.797	0.0260908	4.33926
504	-1.47837	6.1133	-13.2483	-0.432326	nan
505	3.15776	4.90917	61.3734	0.0798186	3.22061
506	4.19779	4.40187	158.183	0.0278205	4.27506
507	1.11575	4.93188	7.15115	0.603755	1.16669
508	-4.9238	-8.5375	-599.929	0.0142299	4.94554
509	-4.89649	9.48888	-646.182	-0.0146835	nan
510	-0.183139	3.96178	-0.801396	-1.37121	nan
511	2.83461	2.73041	27.7408	0.0981096	3.01401
512	4.96031	-4.24601	328.891	-0.0129094	nan
513	-1.30719	-0.0362799	-3.08332	0.011766	5.13568
514	-4.87821	3.84149	-278.693	-0.0137831	nan
515	1.99454	4.31028	16.8454	0.250498	2.0722
516	1.41096	8.12399	16.0429	0.468748	1.43229
517	-0.0210124	-6.31222	-0.137933	1.54895	0.0218499
518	-4.70995	-0.216127	-100.652	0.00214728	6.8367
519	3.77835	5.54984	127.544	0.0434857	3.82831
520	-1.95397	-0.762971	-6.75944	0.112399	2.87779
521	-1.62588	7.79016	-19.5333	-0.379484	nan
522	4.60018	-9.61379	486.558	-0.0197562	nan
523	0.553852	-2.81461	1.94646	-0.965759	nan
524	-2.59393	7.72591	-52.783	-0.145339	nan
525	4.68847	-1.82686	139.359	-0.0131082	nan
526	-1.99232	-9.79542	-35.8347	0.266832	2.00833
527	4.22949	-9.85137	343.836	-0.0286436	nan
528	3.97403	3.17962	97.1533	0.0327162	4.11294
529	-0.0835364	-7.9929	-0.685216	1.48528	0.0856235
530	1.7063	-4.46987	12.8346	-0.335131	nan
531	-2.5149	4.04275	-27.1818	-0.147648	nan
532	3.26511	-6.72982	91.067	-0.0737656	nan
533	-4.06801	-2.15896	-82.111	0.0262871	4.33177
534	-2.78348	-3.89959	-34.6033	0.112221	2.87938
535	-0.190614	-7.31507	-1.44466	1.37581	0.19623
536	-2.21676	5.78967	-27.4916	-0.207565	nan
537	3.48951	-3.58795	65.7103	-0.0545483	nan
538	-1.29634	4.81591	-8.69487	-0.505817	nan
539	0.471665	-5.45471	2.81084	-1.09498	nan
540	1.30356	-2.13053	4.75658	-0.421116	nan
541	-3.88145	9.09696	-224.756	-0.0404527	nan
542	-3.71717	-9.09008	-190.538	0.0476713	3.73638
543	1.5524	2.35296	6.682	0.338575	1.76654
544	3.1015	-6.03619	69.8744	-0.0861723	nan
545	4.90185	-9.15274	627.458	-0.014586	nan
546	4.9326	4.54487	339.087	0.0134025	5.00545
547	2.85428	3.88611	37.0551	0.104492	2.95088
548	-3.03707	-8.06183	-85.8913	0.0935866	3.06129
549	2.44212	9.33514	54.2398	0.170439	2.4601
550	-2.18608	-2.95172	-15.1911	0.191915	2.34077
551	-4.80696	-1.08931	-128.71	0.00846313	5.46518
552	-4.05125	1.2861	-63.5489	-0.0202352	nan
553	-2.26956	-9.04195	-44.123	0.202128	2.28859
554	-4.02482	9.6507	-274.646	-0.0351242	nan
555	-0.349367	-3.62806	-1.44391	1.19203	0.388163
556	1.57944	-8.75512	20.7642	-0.399026	nan
557	-3.69217	-8.75903	-179.32	0.0488069	3.71283
558	3.46212	-4.33759	74.795	-0.0579282	nan
559	-0.954069	9.9151	-11.1407	-0.727256	nan
560	1.50396	-5.91127	13.215	-0.420619	nan
561	4.65863	-4.79877	270.311	-0.0177509	nan
562	3.50262	-3.09014	59.3144	-0.0520506	nan
563	1.98381	3.64927	14.5119	0.246359	2.08904
564	-3.38076	-0.817656	-29.0215	0.0281667	4.2627
565	-1.17071	7.63957	-11.4362	-0.588936	nan
566	-0.905809	-7.85622	-8.34074	0.755493	0.924318
567	0.291103	5.13895	1.60756	1.26762	0.307929
568	-4.8465	9.70048	-627.908	-0.0154477	nan
569	-2.02124	-2.06167	-10.1472	0.200447	2.297
570	4.77267	8.55078	516.541	0.0165524	4.79435
571	-3.48086	-5.65117	-96.2494	0.0586464	3.52909
572	0.418307	0.975303	0.881572	0.835833	0.81176
573	-4.04309	-4.4906	-137.844	0.0325659	4.11755
574	3.2331	-2.63286	40.375	-0.0651179	nan
575	4.77987	-9.4333	571.795	-0.0164962	nan
576	-2.76184	3.51182	-31.1078	-0.112416	nan
577	1.53855	-3.15479	8.06913	-0.372698	nan
578	-1.25654	2.76285	-5.3231	-0.478755	nan
579	-2.42651	-4.77368	-28.6489	0.16511	2.49202
580	4.41896	-1.00079	85.4677	-0.0117091	nan
581	-0.165965	1.2448	-0.364884	-1.28566	nan
582	0.645519	-1.52968	1.63296	-0.752752	nan
583	-4.63827	9.12758	-480.779	-0.0189827	nan
584	3.61846	-8.92719	169.631	-0.0525787	nan
585	0.353312	-3.7646	1.50516	-1.19044	nan
586	4.20029	8.42859	287.391	0.0293196	4.22258
587	-0.360692	-4.31112	-1.72186	1.19081	0.389478
588	1.54139	-7.68044	17.5796	-0.411902	nan
589	-2.57162	-2.57538	-20.4402	0.125336	2.7686
590	-2.18734	-5.27845	-24.5364	0.211898	2.24105
591	2.54475	-0.904916	12.7543	-0.070831	nan
592	-4.45949	-1.14262	-92.1375	0.0124006	5.08314
593	-1.9949	3.32375	-13.6367	-0.239074	nan
594	1.10565	5.24273	7.45601	0.61284	1.1508
595	-2.75621	-7.23358	-58.4278	0.123177	2.78601
596	2.57357	7.84072	52.4362	0.148429	2.59896
597	-0.481973	-1.04291	-1.04192	0.785873	0.880702
598	-4.12768	-7.85955	-250.026	0.0314246	4.15323
599	2.30362	-6.27563	32.3509	-0.191606	nan
600	2.74106	-1.90805	20.249	-0.0939521	nan
601	-4.30059	-0.0582052	-66.3915	0.000876696	7.7325
602	0.872857	0.209271	1.79036	0.116359	2.84309
603	-1.39295	-2.71223	-6.14965	0.415376	1.55719
604	-2.1859	3.14064	-15.9027	-0.194982	nan
605	2.33094	-7.6823	40.2031	-0.188811	nan
606	1.7531	8.61439	24.6378	0.336355	1.77324
607	1.02494	-7.6309	9.5186	-0.675767	nan
608	3.70028	1.14486	43.1275	0.0265397	4.3222
609	0.819591	9.72914	9.04809	0.821652	0.830999
610	-1.18023	7.9089	-11.9554	-0.58444	nan
611	2.46468	7.91615	47.389	0.165518	2.48954
612	3.37137	5.18895	79.8688	0.0648772	3.42806
613	-4.66603	-4.00573	-233.337	0.0171655	4.75798
614	-2.16035	1.87069	-11.1097	-0.166819	nan
615	0.333735	-1.82091	0.870451	-1.12488	nan
616	-2.00491	7.0641	-26.5741	-0.259818	nan
617	3.20262	-7.20117	91.1369	-0.078851	nan
618	4.95775	9.72169	703.286	0.0138224	4.9746
619	-3.76754	-2.21315	-61.6909	0.0358594	4.02119
620	1.8152	-3.94783	12.9719	-0.29543	nan
621	4.42913	0.721185	81.2932	0.00887117	5.41809
622	0.478993	0.867266	0.994064	0.717381	0.981073
623	-1.9319	1.08073	-7.094	-0.151181	nan
624	1.89009	-6.49911	21.8124	-0.289579	nan
625	4.74154	2.11121	158.975	0.0132794	5.01467
626	1.5764	9.09463	21.4661	0.400747	1.59406
627	-3.24373	5.23936	-70.8838	-0.0737805	nan
628	-1.05832	5.71367	-7.59139	-0.645196	nan
629	4.82718	0.761587	122.009	0.00624198	5.7696
630	-0.00426483	-3.35803	-0.0162492	1.56596	0.00483889
631	0.778934	3.0757	3.06523	0.787104	0.878964
632	-3.32399	7.35448	-104.998	-0.0699296	nan
633	3.35334	-0.819032	28.2429	-0.0289914	nan
634	-2.73347	-2.8476	-25.807	0.109897	2.90035
635	0.235127	3.56097	0.946838	1.31092	0.262856
636	4.64688	0.156003	94.1762	0.0016565	7.0962
637	0.967057	6.65778	7.75889	0.709169	0.993624
638	-1.32419	8.67555	-15.4751	-0.510956	nan
639	4.96837	6.66627	496.418	0.0134279	5.00355
640	0.00713944	-0.0147957	0.0128515	-0.855604	nan
641	-4.33592	-7.74997	-303.859	0.0254996	4.36219
642	3.14538	8.75482	103.615	0.0842935	3.166
643	1.11652	-9.41312	13.0663	-0.624295	nan
644	-3.17365	0.82076	-23.5939	-0.0347729	nan
645	-2.74376	-8.85154	-69.9178	0.125929	2.76386
646	-3.88716	-2.84537	-82.0711	0.0346557	4.05534
647	-1.10579	9.93467	-13.583	-0.631492	nan
648	-4.03632	3.23405	-104.744	-0.0308658	nan
649	-2.67921	0.987583	-14.8903	-0.0662271	nan
650	-0.843335	-7.8496	-7.62583	0.799857	0.861071
651	-4.09159	5.41427	-170.65	-0.0317167	nan
652	-1.18485	-7.70452	-11.7272	0.581264	1.20697
653	-4.9253	1.06178	-143.908	-0.007378	nan
654	2.63334	-3.00131	24.2324	-0.123228	nan
655	-1.50242	-2.45974	-6.50744	0.361388	1.69998
656	-0.418219	1.98823	-1.15464	-1.04466	nan
657	-1.90748	2.0019	-8.86741	-0.222037	nan
658	2.99638	0.274976	18.1751	0.0151281	4.88433
659	0.762877	3.34768	3.18918	0.80964	0.847497
660	2.21868	-1.13478	9.66731	-0.116849	nan
661	3.86744	0.0514498	43.0365	0.00119549	7.42234
662	2.35826	-9.42489	50.2692	-0.185336	nan
663	-2.0358	8.5564	-32.9104	-0.254359	nan
664	3.71864	-1.57343	49.2305	-0.0319497	nan
665	-2.33644	2.92552	-17.5999	-0.164717	nan
666	4.59531	6.76876	346.729	0.0195193	4.62947
667	1.3159	-7.232	12.8926	-0.511204	nan
668	-4.07692	-1.51805	-69.3998	0.0218705	4.51572
669	3.07215	7.19013	79.8345	0.0898206	3.10242
670	2.27685	-6.11212	30.7219	-0.196386	nan
671	-3.22406	6.39679	-83.3649	-0.0765824	nan
672	-4.58654	8.13102	-408.665	-0.0198939	nan
673	-0.971996	7.34179	-8.5604	-0.708916	nan
674	-3.22663	0.198566	-22.7767	-0.00871775	nan
675	-1.34744	7.12132	-13.1762	-0.495496	nan
676	4.03001	4.88704	146.459	0.0333556	4.09358
677	-1.75941	-0.736389	-5.48129	0.133546	2.70497
678	1.75459	-1.21921	6.09613	-0.197393	nan
679	4.37443	2.03594	107.862	0.0188732	4.66313
680	-0.972913	-3.48471	-4.44704	0.664662	1.06383
681	-3.7466	1.9555	-56.2832	-0.03473	nan
682	3.08275	3.5266	43.1031	0.0816361	3.19808
683	-4.19154	5.55269	-192.946	-0.0287706	nan
684	2.06719	6.5803	26.5243	0.243176	2.10217
685	-2.43468	0.797974	-11.1487	-0.0714538	nan
686	-4.22872	-4.26933	-158.956	0.0268522	4.3105
687	2.71261	1.82718	19.2395	0.0946864	3.04958
688	4.69265	-1.2385	119.223	-0.0103877	nan
689	2.27482	5.96141	29.9636	0.196391	2.31757
690	-3.29411	-8.2035	-113.03	0.0724508	3.31756
691	1.88747	5.37942	18.2974	0.285942	1.93827
692	-4.06739	-1.35036	-65.6921	0.020553	4.57786
693	2.2367	4.41896	22.0815	0.197512	2.31185
694	4.70826	3.56041	221.122	0.0161002	4.82205
695	-0.0640485	7.07437	-0.467859	-1.50476	nan
696	-0.544532	-3.89003	-2.45109	1.00854	0.59446
697	0.0925944	-7.5305	0.71795	-1.47574	nan
698	-2.59747	8.58822	-58.5951	-0.145533	nan
699	1.12157	0.595497	2.60116	0.225057	2.18032
700	4.25857	7.65635	278.011	0.0275328	4.28546
701	0.174593	8.77384	1.57171	1.39354	0.178192
702	0.954534	5.71213	6.62527	0.711519	0.99002
703	1.87759	-6.71769	22.202	-0.293815	nan
704	-2.12642	2.4524	-12.5723	-0.192646	nan
705	-1.21976	-1.04288	-3.21516	0.313655	1.84436
706	-3.81643	-5.34388	-128.058	0.041706	3.87011
707	2.72728	-5.24414	42.2094	-0.123607	nan
708	0.894095	-5.89437	6.27446	-0.754173	nan
709	-3.3362	-3.15863	-51.0364	0.0618108	3.47651
710	-3.50908	5.68221	-99.5036	-0.0570436	nan
711	0.484669	-8.33399	4.29606	-1.09484	nan
712	-4.69409	-6.99369	-394.624	0.0177206	4.72615
713	-1.49983	4.67107	-10.657	-0.413092	nan
714	3.3641	0.928121	29.2366	0.0317345	4.14341
715	-0.534628	9.00067	-5.14443	-1.05155	nan
716	-2.88252	7.0464	-64.7384	-0.108417	nan
717	4.42068	-3.35207	158.166	-0.0211902	nan
718	0.87701	-0.176128	1.79745	-0.0976757	nan
719	-0.0916097	0.630412	-0.174963	-1.30007	nan
720	-2.33421	-2.11117	-14.1831	0.147766	2.60345
721	-1.2066	1.22635	-3.3138	-0.354443	nan
722	-4.4048	-2.80189	-136.258	0.0205603	4.57751
723	4.31029	5.92944	230.664	0.0257003	4.35435
724	-1.96906	-8.04584	-28.957	0.271018	1.99257
725	-3.24056	-8.1633	-106.619	0.0764158	3.26423
726	-0.305772	1.77146	-0.784312	-1.15399	nan
727	-3.5634	-0.290033	-32.1386	0.00902421	5.40099
728	2.70892	-2.5127	23.0989	-0.108354	nan
729	4.54187	-9.67381	461.761	-0.0209468	nan
730	-3.84563	-6.96953	-168.319	0.0413831	3.87789
731	1.56542	-0.134684	4.12961	-0.0326028	nan
732	-1.82068	-0.409031	-5.55073	0.0735566	3.3024
733	2.70977	6.09393	47.527	0.127525	2.75124
734	0.372722	8.67567	3.37947	1.19934	0.380301
735	-4.03753	2.52597	-87.8841	-0.0287341	nan
736	-3.00484	-4.53528	-49.1196	0.0920704	3.07764
737	-2.24143	-3.35827	-17.7185	0.187313	2.36519
738	-1.24747	7.54749	-12.3925	-0.547037	nan
739	-4.65401	-0.0298375	-94.5095	0.000315709	8.75384
740	-0.73977	-6.64408	-5.56962	0.873144	0.762284
741	-3.5255	-6.15258	-108.79	0.0564944	3.56649
742	-3.19027	2.19174	-34.3938	-0.0636389	nan
743	-1.71103	5.58189	-15.7003	-0.341591	nan
744	-2.58036	3.83607	-27.8102	-0.137072	nan
745	-3.61074	8.72743	-164.705	-0.0529387	nan
746	0.969841	0.237523	2.05016	0.115342	2.8519
747	-3.97315	6.40093	-176.646	-0.03622	nan
748	0.195569	-6.13134	1.25769	-1.36848	nan
749	-4.68699	-8.47961	-470.342	0.0180267	4.70902
750	1.58523	5.78869	14.1716	0.387787	1.6278
751	-4.72317	-4.57468	-276.566	0.0165395	4.79513
752	-3.29724	6.61104	-92.501	-0.0713486	nan
753	-4.15659	0.521755	-59.8187	-0.00872204	nan
754	4.56509	-9.08911	445.032	-0.0204207	nan
755	-0.357874	-9.57761	-3.56251	1.21469	0.363879
756	4.54279	1.38154	106.58	0.0129617	5.03889
757	-0.243197	5.17315	-1.34525	-1.31639	nan
758	2.60015	1.57406	16.0107	0.097998	3.01515
759	-2.41582	-5.49011	-32.094	0.169424	2.4661
760	3.88533	1.40415	55.5457	0.0252738	4.37108
761	-0.227874	0.259229	-0.418	-0.555116	nan
762	-1.56702	6.25796	-14.9237	-0.397058	nan
763	-1.24611	-6.62896	-10.9532	0.544242	1.27639
764	3.53615	4.24372	79.0686	0.0536199	3.61874
765	2.10794	-3.81369	17.1	-0.219432	nan
766	1.68207	1.01625	5.36473	0.187213	2.36573
767	0.057007	-3.76616	0.238088	-1.50766	nan
768	1.08877	-2.08436	3.62702	-0.521592	nan
769	4.04303	2.55686	89.0879	0.0286926	4.2442
770	-3.41145	7.66985	-119.261	-0.0642231	nan
771	3.58283	-6.69572	124.62	-0.0536775	nan
772	2.54396	-7.29559	47.5337	-0.152294	nan
773	1.51433	2.59883	6.83857	0.363169	1.69496
774	-0.703827	1.54385	-1.8103	-0.706125	nan
775	3.72791	9.85596	208.234	0.0472959	3.74429
776	4.5425	-8.29999	398.807	-0.0208091	nan
777	1.00408	-8.83461	10.6526	-0.692376	nan
778	-1.67944	7.19069	-19.184	-0.358619	nan
779	-3.05175	-1.56215	-25.1503	0.0620329	3.47292
780	2.48065	4.57827	29.1852	0.155601	2.55158
781	3.52213	-7.15071	124.716	-0.0572732	nan
782	-0.981469	8.8862	-10.3977	-0.707175	nan
783	-4.78791	-0.809975	-118.472	0.00683675	5.67859
784	3.37257	5.60964	85.7755	0.0653061	3.42146
785	0.625801	-4.3103	3.11771	-0.944592	nan
786	-1.57868	-5.83359	-14.1706	0.390524	1.62059
787	-2.60104	8.56756	-58.6715	-0.145001	nan
788	-2.49195	-4.3746	-28.3875	0.1529	2.56917
789	-1.94448	-1.6916	-8.45637	0.197433	2.31225
790	4.63199	-0.174549	92.8716	-0.00187947	nan
791	3.17636	-9.97587	121.226	-0.0821068	nan
792	-2.18755	7.85313	-35.4543	-0.217981	nan
793	3.76331	-0.135674	38.8708	-0.00349038	nan
794	-0.137373	2.32983	-0.405723	-1.39838	nan
795	-1.28586	-3.03144	-5.89014	0.47531	1.41786
796	-4.73211	-5.28304	-316.811	0.0166741	4.78702
797	4.00105	-8.65679	241.55	-0.0358232	nan
798	2.6695	-7.34702	54.325	-0.134427	nan
799	-0.724073	1.02617	-1.63482	-0.560535	nan
800	3.42748	-8.55901	134.546	-0.0635285	nan
801	4.33951	8.14927	319.876	0.0254708	4.36332
802	2.36724	-7.59923	41.2895	-0.182011	nan
803	-0.166775	-5.95998	-1.04313	1.39753	0.174142
804	-4.66103	4.14616	-238.964	-0.0173489	nan
805	2.25944	8.89965	43.0083	0.204049	2.27906
806	-1.82656	2.10506	-8.38044	-0.246096	nan
807	-0.101899	-5.24314	-0.565858	1.46329	0.107715
808	-0.746717	-0.13285	-1.47653	0.0897326	3.1034
809	3.59633	6.90718	130.04	0.053066	3.62913
810	4.52185	-2.46232	140.296	-0.0175491	nan
811	-2.10164	-4.68041	-20.2022	0.227662	2.16871
812	-1.78894	6.5829	-19.8457	-0.320284	nan
813	-0.600906	1.14843	-1.36165	-0.700657	nan
814	0.830978	-7.51225	7.18392	-0.807736	nan
815	0.76853	-6.63434	5.81865	-0.850806	nan
816	-1.64837	-8.39614	-21.4937	0.372405	1.66927
817	3.00894	2.36203	30.0185	0.0785239	3.23699
818	-0.703391	-3.77889	-3.19303	0.869233	0.767396
819	4.08109	1.85299	76.4577	0.0242307	4.41323
820	1.59821	2.06636	6.49736	0.307915	1.86313
821	4.65392	-3.24315	194.706	-0.0166551	nan
822	-3.81173	-7.50166	-174.375	0.0429938	3.83969
823	-0.217085	2.89389	-0.745656	-1.31862	nan
824	-1.17559	3.74976	-6.09648	-0.551427	nan
825	1.09873	-7.33881	10.0766	-0.629471	nan
826	-1.70418	-4.40487	-12.6455	0.33519	1.77678
827	3.64734	1.56482	45.7297	0.0342056	4.06841
828	0.00184764	2.1067	0.00511974	1.56837	0.00243021
829	3.66273	-1.07335	40.8057	-0.0262978	nan
830	0.113694	1.70619	0.282584	1.40666	0.164875
831	-2.02488	-4.15491	-16.8515	0.241739	2.10816
832	4.24062	4.17926	157.982	0.0264478	4.32567
833	0.452121	-2.41893	1.41014	-1.043	nan
834	2.48985	-6.32835	39.3988	-0.159262	nan
835	-0.298431	8.54721	-2.64557	-1.27063	nan
836	-3.51839	-7.0822	-123.13	0.0574546	3.54963
837	4.74778	-8.26434	487.689	-0.0169443	nan
838	0.627393	9.17433	6.2581	0.972164	0.637967
839	-3.53349	5.37776	-97.0137	-0.0553763	nan
840	1.96723	6.59131	23.952	0.268541	2.00186
841	0.0997747	-6.17185	0.642514	-1.46707	nan
842	4.84982	2.01625	172.589	0.0116818	5.14286
843	3.52278	-5.32719	95.1675	-0.0559187	nan
844	2.94889	4.10293	42.6365	0.0959351	3.03646
845	-1.01448	-0.679141	-2.30414	0.286631	1.93583
846	2.83893	7.64017	66.8721	0.113757	2.86576
847	4.18	6.54552	221.817	0.0295002	4.21643
848	-4.70237	-5.6306	-325.712	0.0172853	4.75102
849	3.28739	2.19658	37.9629	0.0577969	3.54369
850	-1.01829	-8.74374	-10.7448	0.683077	1.03432
851	1.95608	-8.48008	30.0386	-0.275146	nan
852	-2.32585	-0.969045	-10.362	0.0932476	3.06492
853	-3.37083	-7.03553	-105.549	0.0665581	3.40246
854	-3.06879	5.66267	-63.7842	-0.0885464	nan
855	-3.76265	2.39183	-64.418	-0.0371128	nan
856	-0.227799	2.74911	-0.755033	-1.30276	nan
857	2.14894	-5.46484	24.3355	-0.220897	nan
858	-3.76962	7.93995	-176.427	-0.0449738	nan
859	3.37392	-8.98208	133.556	-0.0671523	nan
860	-0.881551	7.54487	-7.75856	-0.771435	nan
861	3.28102	8.36718	113.682	0.0734695	3.30358
862	3.61931	-0.450946	34.5936	-0.0130348	nan
863	0.474392	6.20021	3.17895	1.09703	0.492557
864	3.45279	2.02191	42.7128	0.0473021	3.74416
865	1.13904	7.52498	10.8462	0.606546	1.16179
866	-3.82245	-7.7078	-180.838	0.0425968	3.84897
867	-2.52068	9.73357	-61.157	-0.157833	nan
868	-3.95246	2.13338	-72.6348	-0.0293629	nan
869	-2.14318	-0.745806	-8.1922	0.0907883	3.09169
870	2.61724	-4.10865	30.5581	-0.133652	nan
871	2.93036	1.16902	20.0475	0.0582464	3.53594
872	3.84625	7.96079	190.969	0.0416623	3.87116
873	-1.49925	4.28145	-9.88109	-0.408877	nan
874	-0.833401	6.07184	-5.91049	-0.798863	nan
875	4.69665	-6.78789	384.729	-0.0176415	nan
876	-2.05552	5.80036	-23.3299	-0.243683	nan
877	3.29256	-3.93389	58.1314	-0.0675694	nan
878	1.52476	-6.6906	15.1609	-0.415602	nan
879	-4.48403	-6.12114	-282.582	0.021658	4.52549
880	0.988744	-4.36147	5.46336	-0.673712	nan
881	-1.61639	6.81504	-17.0447	-0.380362	nan
882	0.190817	-5.87411	1.17945	-1.37264	nan
883	-3.06086	-7.81408	-85.3958	0.0912502	3.0866
884	4.35589	-1.05137	81.218	-0.0129443	nan
885	4.8175	-4.70909	311.676	-0.0151078	nan
886	-2.85606	-3.64107	-35.2056	0.103057	2.96474
887	2.26932	0.978442	9.80268	0.0994842	3.00008
888	2.33326	-9.81416	50.9595	-0.190258	nan
889	-3.26609	-6.45664	-87.7088	0.073482	3.30341
890	1.59572	-1.31296	5.2682	-0.244248	nan
891	-3.46672	9.6721	-157.412	-0.0613673	nan
892	-0.507463	2.14715	-1.48364	-0.96615	nan
893	3.61	6.48881	124.37	0.0521259	3.64701
894	-1.3267	4.38868	-8.30873	-0.485953	nan
895	0.286773	-0.411641	0.536805	-0.654188	nan
896	0.776758	9.94517	8.6641	0.85413	0.787296
897	4.23754	0.551249	65.1564	0.00846019	5.46553
898	2.41799	-1.81748	14.2404	-0.126942	nan
899	-3.18955	6.61314	-83.0542	-0.0794568	nan
900	3.54604	-3.57073	69.2721	-0.0515009	nan
901	3.35547	-9.27631	135.24	-0.0684844	nan
902	-3.48823	6.74787	-114.176	-0.0590319	nan
903	-4.2989	-3.2577	-136.976	0.0237785	4.43207
904	3.88309	6.28353	158.68	0.0395782	3.92249
905	3.61927	-1.86533	48.323	-0.0385821	nan
906	4.71986	-6.79362	394.073	-0.0172378	nan
907	-0.173132	0.326767	-0.318317	-0.798497	nan
908	-4.01304	5.62194	-163.21	-0.0344324	nan
909	3.96174	9.84573	262.882	0.0374356	3.97816
910	-1.37076	3.23813	-6.82502	-0.442999	nan
911	1.58416	-9.92397	23.551	-0.398802	nan
912	3.92092	-2.33249	74.2855	-0.0313887	nan
913	-1.09223	5.77466	-8.00075	-0.625184	nan
914	-2.67774	-9.70739	-71.4969	0.134948	2.69449
915	3.98167	-0.104514	48.3103	-0.00216338	nan
916	1.71846	4.42255	12.8839	0.330659	1.79065
917	4.92494	6.79139	483.637	0.0140414	4.95888
918	1.41231	-6.68295	13.3641	-0.463701	nan
919	-0.172952	6.39659	-1.15501	-1.39216	nan
920	3.71044	2.88562	69.4612	0.041519	3.87461
921	-0.690105	2.80438	-2.4866	-0.845387	nan
922	-3.37749	9.16068	-136.597	-0.0669633	nan
923	1.74407	5.19654	15.2494	0.328429	1.79754
924	-0.867896	6.53873	-6.65331	-0.776713	nan
925	-1.81147	9.25849	-28.0881	-0.318408	nan
926	3.69528	-7.00171	145.426	-0.0481092	nan
927	1.12264	-3.4882	5.39239	-0.574175	nan
928	-3.07889	6.26465	-70.6832	-0.0883991	nan
929	-4.9922	-7.78626	-588.395	0.0132323	5.01823
930	-1.86529	0.0421837	-5.67424	-0.00743412	nan
931	4.49097	-0.409811	82.3317	-0.00497752	nan
932	-3.84818	7.1763	-173.447	-0.041351	nan
933	-3.9949	-4.73442	-137.522	0.0344131	4.06237
934	4.31123	-2.41603	112.256	-0.0215192	nan
935	-3.1001	-6.75969	-77.4903	0.0870125	3.13422
936	4.92123	2.20514	195.219	0.0112952	5.17651
937	0.856739	-1.5738	2.30841	-0.598385	nan
938	4.55352	1.95301	126.1	0.0154866	4.86091
939	2.15238	9.98992	43.0854	0.227837	2.16793
940	0.2711	-7.23492	2.04603	-1.29519	nan
941	1.33349	3.95957	7.67842	0.476109	1.41611
942	4.2664	-9.33585	338.717	-0.0275554	nan
943	-3.77871	2.53201	-67.9365	-0.0372531	nan
944	-2.2333	9.86623	-46.2512	-0.210168	nan
945	0.828929	3.60537	3.73625	0.767572	0.906812
946	-2.31424	9.13132	-46.6208	-0.193415	nan
947	-4.93792	-3.33812	-264.476	0.012621	5.06553
948	-1.92397	7.64045	-26.3043	-0.282685	nan
949	-3.50832	-8.82151	-150.185	0.0586701	3.52868
950	-1.55836	-2.65166	-7.27595	0.349482	1.7342
951	-3.2537	-9.85369	-129.453	0.0759715	3.27006
952	4.55	3.7991	198.893	0.0190989	4.65124
953	-4.26453	-7.99873	-291.538	0.0274294	4.28922
954	2.68278	-0.94141	14.7853	-0.0635861	nan
955	-1.13655	-3.90696	-6.01172	0.576298	1.21605
956	-2.10565	0.75488	-7.896	-0.0953131	nan
957	3.63093	-9.98164	191.297	-0.0521315	nan
958	-0.747036	9.1325	-7.6186	-0.875529	nan
959	4.98122	-1.35274	163.97	-0.00824972	nan
960	2.26138	-6.00515	29.7536	-0.199154	nan
961	-4.31163	8.92399	-339.334	-0.0262925	nan
962	2.78823	3.63265	32.8199	0.110236	2.89727
963	-2.98894	9.69894	-97.7298	-0.0989186	nan
964	-4.91699	0.419018	-126.211	-0.00331995	nan
965	1.21513	5.38704	8.73003	0.552876	1.25983
966	-0.0409618	3.10866	-0.147183	-1.52349	nan
967	3.59283	9.45545	174.743	0.0540578	3.6106
968	-1.10988	-7.54146	-10.484	0.623582	1.13226
969	-4.64504	1.48965	-121.564	-0.0122534	nan
970	-1.74988	-0.440662	-5.17041	0.0850222	3.15739
971	-3.10175	-2.28731	-32.2963	0.0707048	3.34197
972	-1.43607	7.78048	-15.8374	-0.456641	nan
973	3.27324	6.84279	93.2525	0.0732479	3.30661
974	3.40879	3.22365	55.7434	0.0577658	3.54423
975	-0.0647722	2.74829	-0.212944	-1.49347	nan
976	-4.73646	8.53541	-497.313	-0.0171614	nan
977	-2.66393	-5.31317	-40.0621	0.131854	2.71776
978	0.741464	3.57121	3.24453	0.833292	0.815188
979	0.676442	-2.07905	2.00536	-0.80344	nan
980	-1.31794	-1.17094	-3.72353	0.304679	1.87386
981	-0.00340139	5.66575	-0.0202206	-1.56723	nan
982	2.09184	-4.81115	20.4867	-0.230663	nan
983	-0.489875	-6.65627	-3.51459	1.08499	0.506126
984	4.04541	2.25842	82.4762	0.0273758	4.29118
985	-1.40951	0.701594	-3.71861	-0.186479	nan
986	-4.15643	5.67526	-190.011	-0.0298592	nan
987	2.06646	1.90345	10.178	0.184881	2.37834
988	-4.38844	6.99288	-290.647	-0.0240551	nan
989	4.6653	-0.679577	102.153	-0.00665242	nan
990	-0.823815	8.27047	-7.78875	-0.815385	nan
991	0.889213	-9.97796	10.2517	-0.771865	nan
992	0.230516	8.571	2.03678	1.33749	0.235455
